toneladas,ag_cabeza,ag_concentrado_pb,ag_colas_pb,ag_colas_zn,au_recuperacion,zn_recuperacion,pb_contenido,zn_contenido,ag_concentrado_pb_ley,ag_concentrado_zn_ley,zn_concentrado_zn_ley,ag_concentrado_fe_ley,toneladas_lag1,toneladas_lag2,toneladas_lag3,ag_cabeza_lag2,ag_cabeza_lag3,ag_concentrado_pb_lag1,ag_concentrado_pb_lag2,ag_concentrado_pb_lag3,ag_colas_pb_lag1,ag_colas_pb_lag2,ag_colas_zn_lag1,ag_colas_zn_lag3,ag_concentrado_fe_lag3,ag_colas_fe_lag3,pb_recuperacion_lag1,pb_recuperacion_lag2,pb_recuperacion_lag3,zn_recuperacion_lag1,zn_recuperacion_lag2,zn_recuperacion_lag3,fe_recuperacion_lag2,ag_contenido_lag1,zn_contenido_lag2,zn_contenido_lag3,ag_concentrado_pb_ley_lag1,ag_concentrado_pb_ley_lag2,ag_concentrado_pb_ley_lag3,ag_concentrado_zn_ley_lag1,ag_concentrado_zn_ley_lag2,ag_concentrado_zn_ley_lag3,zn_concentrado_zn_ley_lag2,zn_concentrado_zn_ley_lag3,ag_concentrado_fe_ley_lag2,ag_concentrado_fe_ley_lag3,pb_recuperacion
1999.9,569.3199973647694,11188.909677894266,87.17003412440505,639.8223692495307,76.0642264795079,53.40137643181946,24.89361589476744,17.44284081657401,11188.909677894266,1123.8166781919897,54.70582311589752,639.8223692495307,1857.0,1747.8,1832.3,485.909997570525,751.7399949921432,11188.920396297624,11188.916989264082,12426.276047343652,143.6699984555982,154.0197705989876,639.8051923835861,639.236512836045,47.45613345484264,47.46,86.87646239202664,90.21394551730567,94.56316276123046,70.1421673906446,81.56686031155576,78.4556829068671,29.94872459897908,876.5162857003348,45.00569467700914,44.09696463505287,11188.920396297624,11188.916989264082,12426.276047343652,1765.7308846649903,1199.2440697286347,818.3782490145534,44.38280383946736,41.10601223859061,639.6930487765447,639.236512836045,88.84966173686871
2095.5,669.4899808704319,11188.992897441052,77.67987633816085,639.8425182636796,84.57153039207381,64.90396386499727,28.967585770182623,31.613730260154583,11188.992897441052,877.1302189622738,48.96111066699065,639.8425182636796,1999.9,1857.0,1747.8,513.2199969091308,485.909997570525,11188.909677894266,11188.920396297624,11188.916989264082,87.17003412440505,143.6699984555982,639.8223692495307,639.6930487765447,47.46029061680113,47.46,88.84966173686871,86.87646239202664,90.21394551730567,53.40137643181946,70.1421673906446,81.56686031155576,33.82153269048946,1052.638642855817,27.600791314979183,45.00569467700914,11188.909677894266,11188.920396297624,11188.916989264082,1123.8166781919897,1765.7308846649903,1199.2440697286347,48.03057809294774,44.38280383946736,639.8051923835861,639.6930487765447,93.39746576057478
2042.2,578.9199996481461,11188.888119123994,87.48995756048943,639.3031947635955,76.17060348539118,76.36003653660971,28.905024810859413,39.79779080700823,11188.888119123994,842.7710408102434,36.56940460150851,639.3031947635955,2095.5,1999.9,1857.0,569.3199973647694,513.2199969091308,11188.992897441052,11188.909677894266,11188.920396297624,77.67987633816085,87.17003412440505,639.8425182636796,639.8051923835861,47.46034814486087,47.46,93.39746576057478,88.84966173686871,86.87646239202664,64.90396386499727,53.40137643181946,70.1421673906446,19.870279236055776,1312.326027643192,17.44284081657401,27.600791314979183,11188.992897441052,11188.909677894266,11188.920396297624,877.1302189622738,1123.8166781919897,1765.7308846649903,54.70582311589752,48.03057809294774,639.8223692495307,639.8051923835861,92.1514286915302
1802.59731,367.8900007361142,14184.638558385554,81.44021139403112,639.9699070466754,70.65507773313205,61.191721279245456,13.59440121095105,15.147116212212184,14184.638558385554,853.0151322209581,53.41688443454236,639.9699070466754,2042.2,2095.5,1999.9,669.4899808704319,569.3199973647694,11188.888119123994,11188.992897441052,11188.909677894266,87.48995756048943,77.67987633816085,639.3031947635955,639.8223692495307,47.46071730208774,47.46,92.1514286915302,93.39746576057478,88.84966173686871,76.36003653660971,64.90396386499727,53.40137643181946,3.0885816215520534,1094.1279462893926,31.613730260154583,17.44284081657401,11188.888119123994,11188.992897441052,11188.909677894266,842.7710408102434,877.1302189622738,1123.8166781919897,48.96111066699065,54.70582311589752,639.8425182636796,639.8223692495307,80.13252051186551
2119.65273,342.17000028703666,10314.947321797845,62.09047768139703,638.8351086353135,69.75084203153197,77.0895719617438,22.878083410774888,32.57195323778101,10314.947321797845,701.5054841823791,54.70682101346119,638.8351086353135,1802.59731,2042.2,2095.5,578.9199996481461,669.4899808704319,14184.638558385554,11188.888119123994,11188.992897441052,81.44021139403112,87.48995756048943,639.9699070466754,639.8425182636796,47.46512825043933,47.46,80.13252051186551,92.1514286915302,93.39746576057478,61.191721279245456,76.36003653660971,64.90396386499727,-4.070299250066327,583.6649490824751,39.79779080700823,31.613730260154583,14184.638558385554,11188.888119123994,11188.992897441052,853.0151322209581,842.7710408102434,877.1302189622738,36.56940460150851,48.96111066699065,639.3031947635955,639.8425182636796,88.53340432435455
2053.78236,293.36000021916306,10766.881526856,73.48984188504126,639.1674652204667,66.38979783069922,85.68665234971861,15.74681412097416,43.77675434865738,10766.881526856,760.9005546653353,42.28327525063513,639.1674652204667,2119.65273,1802.59731,2042.2,367.8900007361142,578.9199996481461,10314.947321797845,14184.638558385554,11188.888119123994,62.09047768139703,81.44021139403112,638.8351086353135,639.3031947635955,47.45990991275016,47.46,88.53340432435455,80.13252051186551,92.1514286915302,77.0895719617438,61.191721279245456,76.36003653660971,20.611131649891128,629.5452400816887,15.147116212212184,39.79779080700823,10314.947321797845,14184.638558385554,11188.888119123994,701.5054841823791,853.0151322209581,842.7710408102434,53.41688443454236,36.56940460150851,639.9699070466754,639.3031947635955,85.5778740685097
2138.33792,350.7000000300281,13028.137679676434,78.02998974757251,639.719353217104,74.91059494263345,82.30129932902454,19.49146746972929,42.578119591935085,13028.137679676434,792.4308250547624,52.31758764279835,639.719353217104,2053.78236,2119.65273,1802.59731,342.17000028703666,367.8900007361142,10766.881526856,10314.947321797845,14184.638558385554,73.48984188504126,62.09047768139703,639.1674652204667,639.9699070466754,47.46094973963597,47.46,85.5778740685097,88.53340432435455,80.13252051186551,85.68665234971861,77.0895719617438,61.191721279245456,-4.320110269942216,510.21738866430286,32.57195323778101,15.147116212212184,10766.881526856,10314.947321797845,14184.638558385554,760.9005546653353,701.5054841823791,853.0151322209581,54.70682101346119,53.41688443454236,638.8351086353135,639.9699070466754,85.4817949385148
2037.84508,576.9500011348632,17620.370784518334,95.8199989225354,640.1674648931195,75.84775834252869,80.84845761897772,22.29075000363774,41.466934906176895,17620.370784518334,940.905245509035,47.449745632802696,640.1674648931195,2138.33792,2053.78236,2119.65273,293.36000021916306,342.17000028703666,13028.137679676434,10766.881526856,10314.947321797845,78.02998974757251,73.48984188504126,639.719353217104,638.8351086353135,47.46323162998241,47.46,85.4817949385148,85.5778740685097,88.53340432435455,82.30129932902454,85.68665234971861,77.0895719617438,-11.684217748454207,654.6811837785106,43.77675434865738,32.57195323778101,13028.137679676434,10766.881526856,10314.947321797845,792.4308250547624,760.9005546653353,701.5054841823791,42.28327525063513,54.70682101346119,639.1674652204667,638.8351086353135,88.87063951884758
2090.09392,686.7999993912923,14596.916918095454,88.71999641200847,640.0328971770181,79.36183109606455,73.36918495451695,32.09231527597737,42.1203671364012,14596.916918095454,816.7934672042992,48.26174793580238,640.0328971770181,2037.84508,2138.33792,2053.78236,350.7000000300281,293.36000021916306,17620.370784518334,13028.137679676434,10766.881526856,95.8199989225354,78.02998974757251,640.1674648931195,639.1674652204667,47.46034293785426,47.46,88.87063951884758,85.4817949385148,85.5778740685097,80.84845761897772,82.30129932902454,85.68665234971861,1.5873890701649247,1087.2382544817713,42.578119591935085,43.77675434865738,17620.370784518334,13028.137679676434,10766.881526856,940.905245509035,792.4308250547624,760.9005546653353,52.31758764279835,42.28327525063513,639.719353217104,639.1674652204667,88.62684115812824
2042.2,495.3500017116912,17571.967330021052,110.71998563040952,640.012590088564,75.21159524929904,82.52066930300693,19.565371540316068,45.34766509805318,17571.967330021052,979.5105091251208,42.84181703712132,640.012590088564,2090.09392,2037.84508,2138.33792,576.9500011348632,350.7000000300281,14596.916918095454,17620.370784518334,13028.137679676434,88.71999641200847,95.8199989225354,640.0328971770181,639.719353217104,47.46797141911246,47.46,88.62684115812824,88.87063951884758,85.4817949385148,73.36918495451695,80.84845761897772,82.30129932902454,8.556351562281343,1345.750721112788,41.466934906176895,42.578119591935085,14596.916918095454,17620.370784518334,13028.137679676434,816.7934672042992,940.905245509035,792.4308250547624,47.449745632802696,52.31758764279835,640.1674648931195,639.719353217104,85.15939369348972
