date_index,horas_operacion,toneladas,au_cabeza,ag_cabeza,pb_cabeza,zn_cabeza,fe_cabeza,cu_cabeza,au_concentrado_pb,ag_concentrado_pb,pb_concentrado_pb,zn_concentrado_pb,fe_concentrado_pb,cu_concentrado_pb,au_colas_pb,ag_colas_pb,pb_colas_pb,zn_colas_pb,fe_colas_pb,cu_colas_pb,au_concentrado_zn,ag_concentrado_zn,pb_concentrado_zn,zn_concentrado_zn,fe_concentrado_zn,cu_concentrado_zn,au_colas_zn,ag_colas_zn,pb_colas_zn,zn_colas_zn,fe_colas_zn,cu_colas_zn,au_concentrado_fe,ag_concentrado_fe,pb_concentrado_fe,zn_concentrado_fe,fe_concentrado_fe,cu_concentrado_fe,au_colas_fe,ag_colas_fe,pb_colas_fe,zn_colas_fe,fe_colas_fe,cu_colas_fe,au_recuperacion,ag_recuperacion,pb_recuperacion,zn_recuperacion,fe_recuperacion,au_contenido,ag_contenido,pb_contenido,zn_contenido,ag_concentrado_pb_ley,pb_concentrado_pb_ley,zn_concentrado_pb_ley,ag_concentrado_zn_ley,zn_concentrado_zn_ley,au_concentrado_fe_ley,ag_concentrado_fe_ley,fe_concentrado_fe_ley
2024-04-06_2,12.0,1880.14848,1.478240431809888,657.0299976499756,2.3642982432912505,2.6396123217763625,6.875401190299743,0.04095702490510464,22.9823949263061,12418.457575151573,50.248491635988515,12.202893928299442,6.8158714348319265,0.49234515137567747,0.5165587078485857,131.05024095353727,0.22288163171643136,2.2119352817680062,6.878063405076889,0.02077061340257453,0.48638313257623056,92.97999403385607,0.15110355691260186,0.2248271713850251,6.758318881573629,0.011646361201919156,2.6688127922935747,857.4295379312758,0.6779959146623296,3.792142189255342,38.81764161153196,0.05934744519507908,0.39188584415304595,59.87999985397388,0.1282895803536981,0.07036556267333416,5.3701783505944105,0.009580946139339777,0.36,59.88,0.13,0.07,5.12,0.01,76.55079127050479,91.93860344677256,90.97656691454445,72.3504966687088,21.623395193892332,2.127584945843171,1135.73039509663,40.44119236081252,35.90656097914583,12418.457575151573,50.248491635988515,12.202893928299442,1153.4764310825917,55.578318193855225,2.6688127922935747,857.4295379312758,38.81764161153196
2024-04-07_1,12.0,2029.67525,2.1915578331899845,897.220011503055,2.3768549405275565,2.0756662899770952,8.088179757958798,0.04163970955404011,26.21420585797664,13005.302412226463,36.54876260778887,13.782517327885348,7.415146945754325,0.4304081633542307,0.6759138738776108,133.29332321383268,0.22087091326190433,1.3370542085834152,8.130642941667114,0.01711141617166627,0.666767873283734,115.79943718962167,0.20711908524218642,0.33760102728365626,8.083443430145326,0.011634379047518984,2.3761419590261084,999.8586547454727,0.6685685317012929,3.911240105612792,42.61366822579411,0.04892133466584026,0.5601142829406107,60.64001338958505,0.17832770444543325,0.1146296827000839,5.9289867313287745,0.009307920653871607,0.6,60.64,0.18,0.11,5.73,0.01,77.79432694862615,94.12780367920887,91.25892433786893,45.57957974071887,28.561217683720507,3.4604088932561483,1714.128724475085,44.02552858439022,19.202351032655628,13005.302412226463,36.54876260778887,13.782517327885348,1050.708041342539,53.75039778107369,2.3761419590261084,999.8586547454727,42.61366822579411
2024-04-07_2,12.0,2028.2625,1.5832382795232478,807.9400073201133,2.7113863563539544,3.940569823209376,8.330038862509614,0.03785270613858411,22.1655375216804,13141.53174793916,55.105533168325394,9.701088254758638,5.195286923222376,0.35051871257562267,0.6587396374065364,253.94996556279835,0.3579895364632643,3.6818236352738913,8.470843049502864,0.023808633851701844,0.5099608225370024,140.4298542314521,0.2443107106875592,0.5583094001952035,8.2856699693201,0.011346001726537866,3.2033611818278187,942.3167541649271,0.7658501156626936,6.185298120322644,36.56094303675143,0.061473674387883766,0.31095077250193415,81.18000987476482,0.20577519081160212,0.14254228155036122,6.196465708061906,0.007642166680231322,0.36,81.18,0.21,0.14,6.48,0.01,83.67303059714148,91.64723608837734,87.36436532552878,76.76902372991772,26.959055781367127,2.6869274618593573,1501.836472484211,48.0451876318123,61.357718993199775,13141.53174793916,55.105533168325394,9.701088254758638,1830.3951676951535,47.05782963045331,3.2033611818278187,942.3167541649271,36.56094303675143
2024-04-08_1,12.0,2127.4803,1.4432756868096686,587.0600014594099,1.7447576708377235,3.3323069691834775,7.223945227816708,0.039722884547169886,25.047927758118455,13015.503808969748,47.69148063864111,13.522615662955193,6.579540463838308,0.46869445837676876,0.6604834062378035,174.90015082277804,0.22104361870442782,2.9943695593021133,7.245315382872676,0.025497060096796816,0.6141411530864247,115.61000774982723,0.17923493520862224,0.2866258731912255,7.118961115033699,0.01101127185787297,3.05264599440487,955.5820041664773,0.6329110308889132,3.167782941611839,35.98395292265369,0.06409968308603682,0.47241278335705944,66.7899850649079,0.15286682129863044,0.1191701079524287,5.4412985728779235,0.007925719659083131,0.6,66.79,0.15,0.12,5.2,0.01,71.63910823893603,90.14228195583266,87.7376367434757,79.0885174131455,25.085059290785306,2.1997078976191,1125.8397719271584,32.56766303926782,56.06915139004095,13015.503808969748,47.69148063864111,13.522615662955193,1238.9875948641352,51.59057642842241,3.05264599440487,955.5820041664773,35.98395292265369
2024-04-08_2,12.0,2022.436,1.3633018818060711,578.7199968216802,1.8435899119250594,3.443161999671616,7.819086926585209,0.046873475903387384,21.32216250962737,12500.569496879461,53.983453526574884,8.8136692174231,5.79907620410482,0.4772050246728925,0.7535619971737487,214.50947026304823,0.2507257190248865,3.27909389416041,7.880797919404327,0.0337269184022737,0.679431090219013,128.01992314115128,0.17856930703055318,0.29404108805068574,7.772596121903083,0.01130428719560058,3.0256935425104547,1111.9582938668918,0.80606337778713,4.904729264307962,35.85078951430832,0.09400764977881798,0.5950654627098023,92.64000304926367,0.15600621696107456,0.12825247354196,6.762975734992935,0.008330484723229847,0.6,92.64,0.15,0.12,7.78,0.01,61.733123990805865,85.96603560853663,86.80329329588116,84.65570432613936,14.453796375851995,1.7021000180867825,1006.1672462812111,32.364977749151194,58.95063277952318,12500.569496879461,53.983453526574884,8.8136692174231,1478.7535461386701,46.91252072875049,3.0256935425104547,1111.9582938668918,35.85078951430832
2024-04-09_1,12.0,1886.00322,1.9754425714600257,896.2200064896925,2.510319970839994,1.9154746537108522,7.553440554115204,0.03773220889624721,24.17473136575666,13412.076382652747,39.64713265052752,9.229383938705928,5.808420178842208,0.4959491849028176,0.6053031498891789,123.74173591980076,0.2182370345161722,1.4640603976046218,7.661143158003134,0.009451071231112525,0.5872293211144709,104.33995930561812,0.1655247691647559,0.1971974598248947,7.583672358912191,0.0,3.5829979307118647,1193.1168741151487,0.7492757756966344,3.399607249379545,34.505145847727945,0.057338150203504835,0.4858917512298657,67.5100097762105,0.1457782813251684,0.0888698590854799,6.6730023250753465,-0.0019395719631639212,0.49,67.51,0.16,0.1,6.14,0.01,78.1273862929904,93.30147624706063,91.81178222456707,62.52555669880964,13.741268854044689,2.9107850392627372,1577.0504248749824,43.468027073491804,22.587928620487137,13412.076382652747,39.64713265052752,9.229383938705928,915.2960349650517,53.149574803929774,3.5829979307118647,1193.1168741151487,34.505145847727945
2024-04-09_2,12.0,2120.67545,1.4669223665808266,546.600002657673,1.7074673876349176,2.299646365192693,7.168516364713392,0.02854768581054547,25.80147127401371,12424.157578373557,48.69275178661055,12.512964473743317,6.971664185583382,0.48105872351550927,0.6882413592753541,166.53014672694826,0.2039857030760045,1.9728304927082752,7.17481543578795,0.014067789265213635,0.6322841161132232,108.01999738479844,0.16810453496662572,0.24585311945965677,7.068804329833076,0.009006184863881416,3.374442823262632,1426.681314856273,0.8117197757093426,4.775629574228354,30.081234808440662,0.11724539357860538,0.571292344314806,78.69000640180816,0.1537890856868243,0.14510071183759762,6.556956162686964,0.006598701628006841,0.53,78.69,0.17,0.13,6.84,0.01,64.26056152827783,86.78867421940255,88.42374620353449,73.09923525661466,8.565278577410679,1.9990601205561949,1006.0206432790308,32.01809853110685,35.64906129509965,12424.157578373557,48.69275178661055,12.512964473743317,1943.3904272219156,54.418389670736744,3.374442823262632,1426.681314856273,30.081234808440662
2024-04-10_1,12.0,2110.00104,1.801419838112062,681.4899988369428,2.387345125639089,2.881533965060792,6.292645560543288,0.04822499730035615,25.067580627396982,11218.485770470095,44.547898319724325,10.306064154387444,6.970045029387161,0.5172739913056559,0.5748509912755727,125.9900661327355,0.16468271125942008,2.490120120933181,6.256933734562521,0.023497201043061477,0.5472983030639706,80.28997617827966,0.1448914321261719,0.1542819167221928,6.175676648541267,0.010434477100151501,2.9972499798485215,891.8164514448129,0.5312602243690816,1.8326755462228714,28.018219760998974,0.06773768607927363,0.4678096868818505,53.96002154066293,0.1323557070658091,0.09982648060804308,5.466995925423377,0.008575276027857934,0.47,53.96,0.13,0.09,5.21,0.01,77.1104607200754,93.02096446610847,93.44729920701094,77.21645672392535,12.733197255502787,2.9309668630223715,1337.5899412645051,47.07221455158422,46.947911952347184,11218.485770470095,44.547898319724325,10.306064154387444,1168.1959649218275,55.75969480824188,2.9972499798485215,891.8164514448129,28.018219760998974
2024-04-10_2,12.0,1849.7226,1.6222691155009517,536.2700025471096,1.9085493211889935,2.1142874151514537,6.2821447335461915,0.045316775493777155,26.2209347088151,10548.926697241846,43.1677840623431,9.771281067099293,7.425775690794323,0.5877799880638817,0.5648071829222415,105.84001607268691,0.1348730239691144,1.7851240597565812,6.23298165201151,0.02199704723692608,0.5494476322012646,79.98986108232961,0.1248126374282146,0.2048799206807428,6.116355517710455,0.0113882882044451,2.4358691259912337,572.0500439309416,0.3544190371924243,1.1581325190002287,27.525292475620404,0.04610945393748121,0.3798829287882025,35.76006448556143,0.10417401493269828,0.11919493742335267,4.191971143588645,0.008267307983927349,0.37,35.76,0.11,0.11,4.24,0.01,79.96957559290513,94.29601909803455,93.22448751006233,71.9174848986526,33.688680172733775,2.3996853172386707,935.3700624522389,32.91091788698389,28.125815166924326,10548.926697241846,43.1677840623431,9.771281067099293,1015.0225293275921,57.36430099147084,2.4358691259912337,572.0500439309416,27.525292475620404
2024-04-11_1,12.0,1695.67143,1.6258549112380085,596.4299988557939,2.0490535294724306,2.720293145394873,6.089245229758965,0.03703286867268056,23.621723421031323,10818.967936160221,42.64556539319905,10.18837543572633,6.516241776113107,0.568074790251725,0.5842584040342078,112.3500087652053,0.12663864764639626,2.366648167672968,6.069025154744761,0.011885809330638479,0.550242915732999,69.39022800542274,0.10818906290106901,0.18593193847090936,5.968157155739647,0.0,2.5790964534075824,399.6049988394421,0.2776954231198188,0.6373817226549605,24.61502879155169,0.015108095209820326,0.27203828400672564,24.109838364409104,0.0849456628013413,0.12402731173487418,3.4112224337615795,-0.0020716833353831236,0.26,24.11,0.08,0.14,3.15,0.01,86.53869851704408,96.74782706610426,94.09908462936141,76.81326440384599,44.59532717975841,2.385798985300118,978.4584805584839,32.69492953537604,35.43183396780681,10818.967936160221,42.64556539319905,10.18837543572633,1096.2725981089002,52.31233971712791,2.5790964534075824,399.6049988394421,24.61502879155169
