date_index,horas_operacion,toneladas,au_cabeza,ag_cabeza,pb_cabeza,zn_cabeza,fe_cabeza,cu_cabeza,au_concentrado_pb,ag_concentrado_pb,pb_concentrado_pb,zn_concentrado_pb,fe_concentrado_pb,cu_concentrado_pb,au_colas_pb,ag_colas_pb,pb_colas_pb,zn_colas_pb,fe_colas_pb,cu_colas_pb,au_concentrado_zn,ag_concentrado_zn,pb_concentrado_zn,zn_concentrado_zn,fe_concentrado_zn,cu_concentrado_zn,au_colas_zn,ag_colas_zn,pb_colas_zn,zn_colas_zn,fe_colas_zn,cu_colas_zn,au_concentrado_fe,ag_concentrado_fe,pb_concentrado_fe,zn_concentrado_fe,fe_concentrado_fe,cu_concentrado_fe,au_colas_fe,ag_colas_fe,pb_colas_fe,zn_colas_fe,fe_colas_fe,cu_colas_fe,au_recuperacion,ag_recuperacion,pb_recuperacion,zn_recuperacion,fe_recuperacion,au_contenido,ag_contenido,pb_contenido,zn_contenido,ag_concentrado_pb_ley,pb_concentrado_pb_ley,zn_concentrado_pb_ley,ag_concentrado_zn_ley,zn_concentrado_zn_ley,au_concentrado_fe_ley,ag_concentrado_fe_ley,fe_concentrado_fe_ley
2024-01-10_2,11.457368421052632,1939.531818086519,1.4516947551811024,530.6662005027559,1.5259409627874017,2.7848621766732284,7.428112756279527,0.0468842703425196,25.710978217821783,12528.663418498025,43.14,10.245832015810278,7.772343873517786,0.6932693069306931,0.6235513833992095,144.26978260869566,0.2172450592885375,2.596879446640316,7.291853754940711,0.0288707753479125,1.764984220907298,1145.780849516765,1.2546015779092703,49.684905325443786,10.62000986193294,0.4171321499013806,0.4980848126232741,86.15146400508876,0.1596449704142012,0.2719901380670611,6.847465483234714,0.0198238993710691,2.721922222222222,843.5350111111111,0.8867333333333334,3.6918592592592594,35.16295185185185,0.0711428571428571,0.3857011070110701,52.40366420664206,0.1497675276752767,0.1435313653136531,5.322642066420665,0.0128571428571428,74.21173826994959,91.34345696479286,89.94397456257957,81.23654067520417,19.504963598211383,1.9761758047432316,940.147032618919,37.69045736110417,48.45628330703049,12528.662734225849,62.28393523488572,10.141241734385453,1145.93387712587,47.02442741825454,2.7604396039372894,843.4463892697207,35.40400281546246
2024-01-11_1,11.457368421052632,1939.531818086519,1.4516947551811024,530.6662005027559,1.5259409627874017,2.7848621766732284,7.428112756279527,0.0468842703425196,25.710978217821783,12528.663418498025,41.46,10.245832015810278,7.772343873517786,0.6932693069306931,0.6235513833992095,144.26978260869566,0.2172450592885375,2.596879446640316,7.291853754940711,0.0288707753479125,1.764984220907298,1145.780849516765,1.2546015779092703,49.684905325443786,10.62000986193294,0.4171321499013806,0.4980848126232741,86.15146400508876,0.1596449704142012,0.2719901380670611,6.847465483234714,0.0198238993710691,2.721922222222222,843.5350111111111,0.8867333333333334,3.6918592592592594,35.16295185185185,0.0711428571428571,0.3857011070110701,52.40366420664206,0.1497675276752767,0.1435313653136531,5.322642066420665,0.0124285714285714,74.21173826994959,91.34345696479286,89.94397456257957,81.23654067520417,19.504963598211383,1.9761758047432316,940.147032618919,37.69045736110417,48.45628330703049,12528.662734225849,62.28393523488572,10.141241734385453,1145.93387712587,47.02442741825454,2.7604396039372894,843.4463892697207,35.40400281546246
2024-01-11_2,11.457368421052632,1939.531818086519,1.4516947551811024,530.6662005027559,1.5259409627874017,2.7848621766732284,7.428112756279527,0.0468842703425196,25.710978217821783,12528.663418498025,41.3,10.245832015810278,7.772343873517786,0.6932693069306931,0.6235513833992095,144.26978260869566,0.2172450592885375,2.596879446640316,7.291853754940711,0.0288707753479125,1.764984220907298,1145.780849516765,1.2546015779092703,49.684905325443786,10.62000986193294,0.4171321499013806,0.4980848126232741,86.15146400508876,0.1596449704142012,0.2719901380670611,6.847465483234714,0.0198238993710691,2.721922222222222,843.5350111111111,0.8867333333333334,3.6918592592592594,35.16295185185185,0.0671428571428571,0.3857011070110701,52.40366420664206,0.1497675276752767,0.1435313653136531,5.322642066420665,0.0114285714285714,74.21173826994959,91.34345696479286,89.94397456257957,81.23654067520417,19.504963598211383,1.9761758047432316,940.147032618919,37.69045736110417,48.45628330703049,12528.662734225849,62.28393523488572,10.141241734385453,1145.93387712587,47.02442741825454,2.7604396039372894,843.4463892697207,35.40400281546246
2024-01-12_1,11.457368421052632,1802.59731,1.44,367.89,0.9,1.8000000000000005,5.402,0.031,33.55,14184.7,37.71,11.22,7.87,0.76,0.55,81.44,0.16,1.77,5.29,0.02,1.89,853.63,0.98,50.06,8.41,0.48,0.44,68.85,0.22,0.2719901380670611,5.36,0.02,2.745714285714286,799.1642857142857,0.6257142857142857,2.275714285714286,35.792857142857144,0.0714285714285714,0.3842857142857143,45.5,0.1642857142857142,0.1457142857142857,5.518571428571429,0.0114285714285714,68.64316078489487,88.44694361089097,78.17651421698606,81.23654067520417,18.510186497579745,1.4767209212681538,586.5425627921632,13.505486990641655,15.253234447335888,14184.63947913866,36.88762275604754,11.532150294666405,853.0103090915596,53.79278604545053,2.771109633444045,799.6843953094447,35.25128366599179
2024-01-12_2,12.0,2119.65273,1.26,342.17,1.17,2.29,6.295,0.042,29.59,10314.96,40.09,10.4,8.21,0.75,0.49,62.09,0.16,2.21,5.76,0.02,1.53,701.95,0.94,51.91,8.21,0.46,0.39,43.08,0.1,0.34,4.94,0.01,2.3728571428571428,702.547142857143,0.7114285714285714,2.565714285714286,38.59257142857143,0.0664285714285714,0.2585714285714285,34.30142857142857,0.0914285714285714,0.0971428571428571,3.6624285714285714,0.0077142857142857,75.45312257686183,90.65602388018064,89.5571954123288,78.25324537057784,9.582082597836992,1.901971209902352,657.5114383756645,22.94804258747284,32.67664759372245,10314.939637133071,39.63185935282065,10.551598302990095,701.3170892484405,54.88203781474199,2.4316094365173693,701.4882083194549,39.05015026953704
2024-01-13_1,12.0,2053.78236,1.1,293.36,0.72,1.8000000000000005,5.159,0.037,27.36,10766.9,41.46,11.19,7.85,0.71,0.4,73.49,0.15,2.07,5.28,0.04,1.2,760.36,0.79,51.12,8.82,0.43,0.25,36.18999999999999,0.08,0.26,5.03,0.01,2.3442857142857143,689.9757142857143,0.7057142857142857,2.5357142857142856,38.33971428571429,0.065,0.2585714285714285,33.13142857142857,0.1,0.1042857142857142,3.8238571428571424,0.0077142857142857,72.7851068598343,89.55942166459432,85.93730054784356,86.10321307359166,3.4446697120832703,1.3602887565540371,539.59336044169,15.770750189651933,43.88668818778668,10766.877466663464,37.346254277458776,10.746906273574057,760.7307630459761,42.38882968344748,2.3477222362010184,688.7428495104728,38.46397101963956
2024-01-13_2,12.0,2138.33792,1.15,350.7,1.08,2.34,6.223,0.037,35.35,13028.14,43.14,11.94,7.82,0.66,0.4,78.03,0.18,2.34,6.13,0.02,1.4,792.39,1.02,52.1,8.82,0.41,0.25,49.14,0.1,0.23,4.96,0.01,2.37,672.8142857142857,0.6385714285714286,2.6100000000000003,37.97871428571428,0.0637142857142857,0.2357142857142857,35.83,0.1071428571428571,0.1142857142857143,3.871428571428571,0.008,79.79056674553064,90.58837104420805,86.13752979788771,82.56324712706493,14.166390043790209,1.836595810157049,679.3358811413877,19.523377138384426,42.61851302835325,13028.136131659076,43.36253256981766,11.907021656008652,792.2280703922862,52.36779765190093,2.370891257506429,672.4865772666034,38.45331663792509
2024-01-14_1,11.44,2037.84508,2.07,576.95,1.28,2.25,6.141,0.038,39.1,17620.41,39.36,12.06,7.26,0.78,0.78,95.82,0.14,2.06,6.27,0.02,2.06,940.72,0.82,50.23,9.11,0.44,0.72,56.84,0.09,0.14,5.08,0.01,2.967142857142857,659.4214285714286,0.6371428571428571,2.204285714285714,34.94714285714286,0.0542857142857143,0.4157142857142857,44.60428571428572,0.1342857142857142,0.1557142857142857,5.262857142857143,0.0128571428571428,72.72324614752362,92.9554393503471,88.99607117379448,80.96612687446175,10.962871280001252,2.5606560242215406,1092.9093756651494,22.29804997795537,41.49087110531643,17620.371482252984,39.8547594010122,11.891048939123484,940.8795349429388,47.4776364411205,3.066748020794564,659.955039865569,34.87625827954154
2024-01-14_2,12.0,2090.09392,2.04,686.8,1.51,2.25,6.314,0.037,32.54,14596.91,39.62,14.13,7.4,0.7,0.75,88.72,0.21,2.32,6.22,0.02,1.89,816.74,1.52,50.75,8.95,0.43,0.67,55.56999999999999,0.13,0.18,5.22,0.01,3.0371428571428574,704.2114285714285,0.6,2.2928571428571427,35.21285714285714,0.0671428571428571,0.3928571428571428,45.36285714285714,0.1514285714285714,0.1457142857142857,5.295714285714285,0.0114285714285714,77.20854354818842,94.03676749761038,88.75239214054514,73.69198710258377,8.418017416740938,3.112934682761689,1349.8757015276246,32.10737645438955,42.19205646457073,14596.917299891478,37.26431917679244,13.516071400056097,816.760227520367,48.34443162194015,3.12095866867368,704.6107108771802,35.203350479121134
2024-01-15_1,12.0,2090.09392,2.1,495.35,1.49,2.31,6.615,0.032,41.98,17572.06,41.3,11.48,7.15,0.76,0.78,110.72,0.14,2.03,6.2,0.02,2.19,979.11,0.86,49.17,8.32,0.39,0.59,62.1,0.13,0.26,5.32,0.01,2.8114285714285714,627.4242857142857,0.55,2.275714285714286,34.71714285714285,0.0614285714285714,0.3728571428571429,40.36714285714285,0.1385714285714285,0.1471428571428571,4.945714285714286,0.0114285714285714,74.97311797150115,92.73181117208064,85.41438711455804,82.72733591222669,19.52401830978148,1.974507685864108,768.6068706264031,16.037165483572913,37.20019529204606,17571.968117839806,43.51073007866388,11.311416186998668,979.5014565070226,42.89397913985731,2.9544523505922515,627.7691306198394,34.60087042013763
